ATF	1.0
32	41    
"Type=GenePix Export 3"
"DateTime=2023/05/30 14:50:00"
"Settings=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\Settings slide #1 F532.gps"
"GalFile=R:\Para-ClinicalTrial\Emma Houlder\Lab files\D&A\ReCHISVac (R)\Arrays (A)\R_A_003 full array\2023.05.30\GAL file Schistosoma glycan_protein array May 2023.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\US23502317_1003449801_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2860, 1690"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier=BioRobotics"
"ArrayerSoftwareName=TAS Application Suite (MicroGrid II)"
"ArrayerSoftwareVersion=2.4.0.3"
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"F532 Total Intensity"	"SNR 532"	"F532 CV"	"B532 CV"	"Index"
1	2	4	"protein 105"	"225"	3300	2620	100	888	939	232	1396	1403	1396	103	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-508	-457	Error	-508	-457	75136	-4.505	24	7	38
1	3	4	"protein 105"	"225"	3550	2620	100	719	772	200	1212	1220	1212	114	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-493	-440	Error	-493	-440	61781	-3.930	25	9	39
1	4	4	"protein 100"	"229"	3790	2620	100	1036	1067	157	1180	1181	1180	69	14	6	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-144	-113	Error	-144	-113	85381	-1.652	14	5	40
1	5	4	"protein 100"	"229"	4040	2620	100	1135	1157	154	1287	1284	1287	95	10	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-152	-130	Error	-152	-130	92580	-1.337	13	7	41
1	6	4	"protein 100"	"229"	4280	2620	100	1247	1238	136	1397	1395	1397	83	5	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-150	-159	Error	-150	-159	99073	-1.892	10	5	42
1	7	4	"protein 69"	"233"	4530	2620	100	1159	1149	191	1431	1430	1431	78	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-272	-282	Error	-272	-282	91941	-3.603	16	5	43
1	8	4	"protein 69"	"233"	4770	2620	100	1205	1176	194	1456	1462	1456	82	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-251	-280	Error	-251	-280	94069	-3.488	16	5	44
1	9	4	"protein 69"	"233"	5020	2620	100	1139	1134	196	1447	1444	1447	92	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-308	-313	Error	-308	-313	90734	-3.370	17	6	45
1	10	4	"protein 45"	"237"	5260	2620	100	603	633	149	1316	1316	1316	91	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-713	-683	Error	-713	-683	50678	-7.505	23	6	46
1	11	4	"protein 45"	"237"	5510	2620	100	603	631	160	1298	1304	1298	84	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-695	-667	Error	-695	-667	50490	-8.012	25	6	47
